episode,timestep,reward
10,4599,-0.1426
20,8826,-0.1782
30,12779,-0.1276
40,17665,-0.152
50,23761,-0.18
60,29115,-0.1282
70,34211,-0.1323
80,38833,-0.0793
90,43305,-0.0894
100,48294,-0.1451
110,53082,-0.1216
120,57192,-0.0959
130,61152,-0.1531
140,65574,-0.1312
150,70050,-0.1207
160,73605,-0.0747
170,77803,-0.1429
180,83004,-0.2275
190,87170,-0.1527
200,90869,-0.1096
210,94480,-0.1245
220,98070,-0.1009
230,101728,-0.0913
240,106132,-0.1331
250,110256,-0.0928
260,113825,-0.0763
270,117493,-0.0911
280,121145,-0.0942
290,125303,-0.1312
300,129115,-0.106
310,133199,-0.1337
320,137130,-0.124
330,141247,-0.1329
340,145252,-0.1176
350,148621,-0.0933
360,152235,-0.1206
370,155926,-0.0812
380,159635,-0.0873
390,163875,-0.1241
400,167591,-0.1052
410,171257,-0.0862
